PS D:\dynamic> python dup-count-of-ids.py

===== ID COUNTS =====
ID 15528 → 2 files
ID 15531 → 2 files
ID 15546 → 2 files
ID 15548 → 2 files
ID 15569 → 2 files
ID 15570 → 2 files
ID 15571 → 2 files
ID 15573 → 2 files
ID 15575 → 2 files
ID 15576 → 2 files
ID 15577 → 2 files
ID 15578 → 2 files
ID 15579 → 2 files
ID 15584 → 2 files
ID 15585 → 2 files
ID 15586 → 2 files
ID 15590 → 2 files
ID 15594 → 2 files
ID 15601 → 2 files
ID 15604 → 2 files
ID 15607 → 2 files
ID 15610 → 2 files
ID 15611 → 2 files
ID 15613 → 2 files
ID 15622 → 2 files
ID 15623 → 2 files
ID 15625 → 2 files
ID 15630 → 2 files
ID 15632 → 2 files
ID 15633 → 2 files
ID 15634 → 2 files
ID 15638 → 2 files
ID 15640 → 2 files
ID 15644 → 2 files
ID 15646 → 2 files
ID 15647 → 2 files
ID 15651 → 2 files
ID 15652 → 2 files
ID 15656 → 2 files
ID 15660 → 2 files
ID 15661 → 2 files
ID 15662 → 2 files
ID 15663 → 2 files
ID 15669 → 2 files
ID 15671 → 2 files
ID 15673 → 2 files
ID 15678 → 2 files
ID 15681 → 2 files
ID 15683 → 2 files
ID 15684 → 2 files
ID 15687 → 2 files
ID 15691 → 2 files
ID 15692 → 2 files
ID 15695 → 2 files
ID 15699 → 2 files
ID 15703 → 2 files
ID 15719 → 2 files
ID 15720 → 2 files
ID 15721 → 2 files
ID 15722 → 2 files
ID 15723 → 2 files
ID 15724 → 2 files
ID 15725 → 2 files
ID 15729 → 2 files
ID 15731 → 2 files
ID 15733 → 2 files
ID 15736 → 2 files
ID 15740 → 2 files
ID 15742 → 2 files
ID 15743 → 2 files
ID 15744 → 2 files
ID 15746 → 2 files
ID 15750 → 2 files
ID 15753 → 2 files
ID 15756 → 2 files
ID 15759 → 2 files
ID 15764 → 2 files
ID 15770 → 2 files
ID 15771 → 2 files
ID 15772 → 2 files
ID 15773 → 2 files
ID 15774 → 2 files
ID 15782 → 2 files
ID 15784 → 2 files
ID 15787 → 2 files
ID 15788 → 2 files
ID 15792 → 2 files
ID 15799 → 2 files
ID 15800 → 2 files
ID 15804 → 2 files
ID 15805 → 2 files
ID 15806 → 2 files
ID 15808 → 2 files
ID 15812 → 2 files
ID 15816 → 2 files
ID 15817 → 2 files
ID 15819 → 2 files
ID 15820 → 2 files
ID 15822 → 2 files
ID 15831 → 2 files
ID 15832 → 2 files
ID 15833 → 2 files
ID 15834 → 2 files
ID 15837 → 2 files
ID 15842 → 2 files
ID 15843 → 2 files
ID 15845 → 2 files
ID 15846 → 2 files
ID 15847 → 2 files
ID 15848 → 2 files
ID 15849 → 2 files
ID 15850 → 2 files
ID 15856 → 2 files
ID 15862 → 2 files
ID 15868 → 2 files
ID 15882 → 2 files
ID 15887 → 2 files
ID 15889 → 2 files
ID 15890 → 2 files
ID 15896 → 2 files
ID 15898 → 2 files
ID 15899 → 2 files
ID 15900 → 2 files
ID 15901 → 2 files
ID 15902 → 2 files
ID 15903 → 2 files
ID 15905 → 2 files
ID 15906 → 2 files
ID 15912 → 2 files
ID 15913 → 2 files
ID 15916 → 2 files
ID 15918 → 2 files
ID 15919 → 2 files
ID 15921 → 2 files
ID 15922 → 2 files
ID 15923 → 2 files
ID 15925 → 2 files
ID 15927 → 2 files
ID 15928 → 2 files
ID 15929 → 2 files
ID 15930 → 2 files
ID 15931 → 2 files
ID 15934 → 2 files
ID 15935 → 2 files
ID 15936 → 2 files
ID 15939 → 2 files
ID 15944 → 2 files
ID 15947 → 2 files
ID 15948 → 2 files
ID 15952 → 2 files
ID 15953 → 2 files
ID 15954 → 2 files
ID 15956 → 2 files
ID 15958 → 2 files
ID 15960 → 2 files
ID 15964 → 2 files
ID 15965 → 2 files
ID 15966 → 2 files
ID 15970 → 2 files
