PS D:\dynamic> python dup-count-of-ids.py

===== ID COUNTS =====
ID 10 → 2 files
ID 12 → 2 files
ID 101 → 2 files
ID 107 → 2 files
ID 109 → 2 files
ID 115 → 2 files
ID 123 → 2 files
ID 138 → 2 files
ID 147 → 2 files
ID 148 → 2 files
ID 149 → 2 files
ID 151 → 2 files
ID 154 → 2 files
ID 1011 → 2 files
ID 1012 → 2 files
ID 1016 → 2 files
ID 1019 → 2 files
ID 1020 → 2 files
ID 1025 → 2 files
ID 1026 → 2 files
ID 1028 → 2 files
ID 1032 → 2 files
ID 1033 → 2 files
ID 1035 → 2 files
ID 1037 → 2 files
ID 1038 → 2 files
ID 1043 → 2 files
ID 1044 → 2 files
ID 1048 → 2 files
ID 1050 → 2 files
ID 1052 → 2 files
ID 1066 → 2 files
ID 1068 → 2 files
ID 1071 → 2 files
ID 1074 → 2 files
ID 1075 → 2 files
ID 1084 → 2 files
ID 1095 → 2 files
ID 1097 → 2 files
ID 1098 → 2 files
ID 1103 → 2 files
ID 1105 → 2 files
ID 1107 → 2 files
ID 1109 → 2 files
ID 1112 → 2 files
ID 1113 → 2 files
ID 1114 → 2 files
ID 1117 → 2 files
ID 1118 → 2 files
ID 1119 → 2 files
ID 1120 → 2 files
ID 1121 → 2 files
ID 1129 → 2 files
ID 1133 → 2 files
ID 1135 → 2 files
ID 1138 → 2 files
ID 1140 → 2 files
ID 1145 → 2 files
ID 1147 → 2 files
ID 1149 → 2 files
ID 1152 → 2 files
ID 1155 → 2 files
ID 1156 → 2 files
ID 1159 → 2 files
ID 1161 → 2 files
ID 1166 → 2 files
ID 1182 → 2 files
ID 1183 → 2 files
ID 1186 → 2 files
ID 1187 → 2 files
ID 1195 → 2 files
ID 1196 → 2 files
ID 1197 → 2 files
ID 1198 → 2 files
ID 1199 → 2 files
ID 1201 → 2 files
ID 1204 → 2 files
ID 1206 → 2 files
ID 1207 → 2 files
ID 1209 → 2 files
ID 1211 → 2 files
ID 1243 → 2 files
ID 1251 → 2 files
ID 1254 → 2 files
ID 1260 → 2 files
ID 1267 → 2 files
ID 1270 → 2 files
ID 1272 → 2 files
ID 1275 → 2 files
ID 1278 → 2 files
ID 1310 → 2 files
ID 1311 → 2 files
ID 1313 → 2 files
ID 1325 → 2 files
ID 1327 → 2 files
ID 1329 → 2 files
ID 1331 → 2 files
ID 1334 → 2 files
ID 1337 → 2 files
ID 1343 → 2 files
ID 1344 → 2 files
ID 1345 → 2 files
ID 1347 → 2 files
ID 1359 → 2 files
ID 1360 → 2 files
ID 1362 → 2 files
ID 1364 → 2 files
ID 1373 → 2 files
ID 1377 → 2 files
ID 1389 → 2 files
ID 1396 → 2 files
ID 1405 → 2 files
ID 1407 → 2 files
ID 1409 → 2 files
ID 1420 → 2 files
ID 1421 → 2 files
ID 1423 → 2 files
ID 1425 → 2 files
ID 1426 → 2 files
ID 1429 → 2 files
ID 1432 → 2 files
ID 1433 → 2 files
ID 1438 → 2 files
ID 1439 → 2 files
ID 1442 → 2 files
ID 1444 → 2 files
ID 1447 → 2 files
ID 1456 → 2 files
ID 1463 → 2 files
ID 1464 → 2 files
ID 1471 → 2 files
ID 10011 → 2 files
ID 10012 → 2 files
ID 10013 → 2 files
ID 10015 → 2 files
ID 10016 → 2 files
ID 10017 → 2 files
ID 10018 → 2 files
ID 10019 → 2 files
ID 10020 → 2 files
ID 10025 → 2 files
ID 10029 → 2 files
ID 10037 → 2 files
ID 10040 → 2 files
ID 10047 → 2 files
ID 10055 → 2 files
ID 10060 → 2 files
ID 10073 → 2 files
ID 10082 → 2 files
ID 10085 → 2 files
ID 10086 → 2 files
ID 10088 → 2 files
ID 10096 → 2 files
ID 10097 → 2 files
ID 10108 → 2 files
ID 10119 → 2 files
ID 10122 → 2 files
ID 10123 → 2 files
ID 10128 → 2 files
ID 10129 → 2 files
ID 10132 → 2 files
ID 10136 → 2 files
ID 10139 → 2 files
ID 10141 → 2 files
ID 10142 → 2 files
ID 10143 → 1 files
ID 10152 → 2 files
ID 10154 → 2 files
ID 10159 → 2 files
ID 10162 → 2 files
ID 10163 → 2 files
ID 10165 → 2 files
ID 10171 → 2 files
ID 10174 → 2 files
ID 10178 → 2 files
ID 10179 → 2 files
ID 10180 → 2 files
ID 10186 → 2 files
ID 10193 → 2 files
ID 10195 → 2 files
ID 10199 → 2 files
ID 10201 → 2 files
ID 10207 → 2 files
ID 10209 → 2 files
ID 10211 → 2 files
ID 10221 → 2 files
ID 10223 → 2 files
ID 10225 → 2 files
ID 10226 → 2 files
ID 10227 → 2 files
ID 10228 → 2 files
ID 10229 → 2 files
ID 10231 → 2 files
ID 10232 → 2 files
ID 10238 → 2 files
ID 10242 → 2 files
ID 10245 → 2 files
ID 10246 → 2 files
ID 10252 → 2 files
ID 10256 → 2 files
ID 10257 → 2 files
ID 10258 → 2 files
ID 10259 → 2 files
ID 10260 → 2 files
ID 10263 → 2 files
ID 10265 → 2 files
ID 10268 → 2 files
ID 10269 → 2 files
ID 10270 → 2 files
ID 10272 → 2 files
ID 10279 → 2 files
ID 10280 → 2 files
ID 10304 → 2 files
ID 10305 → 2 files
ID 10306 → 2 files
ID 10310 → 2 files
ID 10311 → 2 files
ID 10312 → 2 files
ID 10314 → 2 files
ID 10315 → 2 files
ID 10355 → 2 files
ID 10357 → 2 files
ID 10372 → 2 files
ID 10377 → 2 files
ID 10389 → 2 files
ID 10390 → 2 files
ID 10396 → 2 files
ID 10399 → 2 files
ID 10401 → 2 files
ID 10403 → 2 files
ID 10405 → 2 files
ID 10406 → 2 files
ID 10408 → 2 files
ID 10414 → 2 files
ID 10415 → 2 files
ID 10418 → 2 files
ID 10424 → 2 files
ID 10426 → 2 files
ID 10437 → 2 files
ID 10441 → 2 files
ID 10453 → 2 files
ID 10454 → 2 files
ID 10455 → 2 files
ID 10459 → 2 files
ID 10465 → 2 files
ID 10467 → 2 files
ID 10468 → 2 files
ID 10469 → 2 files
ID 10472 → 2 files
ID 10474 → 2 files
ID 10480 → 2 files
ID 10483 → 2 files
ID 10488 → 2 files
ID 10489 → 2 files
ID 10492 → 2 files
ID 10495 → 2 files
ID 10501 → 2 files
ID 10503 → 2 files
ID 10504 → 2 files
ID 10505 → 2 files
ID 10507 → 2 files
ID 10514 → 2 files
ID 10517 → 2 files
ID 10520 → 2 files
ID 10521 → 2 files
ID 10524 → 2 files
ID 10533 → 2 files
ID 10538 → 2 files
ID 10539 → 2 files
ID 10541 → 2 files
ID 10543 → 2 files
ID 10544 → 2 files
ID 10546 → 2 files
ID 10547 → 2 files
ID 10549 → 2 files
ID 10552 → 2 files
ID 10553 → 2 files
ID 10554 → 2 files
ID 10567 → 2 files
ID 10569 → 2 files
ID 10572 → 2 files
ID 10573 → 2 files
ID 10575 → 2 files
ID 10576 → 2 files
ID 10578 → 2 files
ID 10579 → 2 files
ID 10580 → 2 files
ID 10583 → 2 files
ID 10585 → 2 files
ID 10587 → 2 files
ID 10591 → 2 files
ID 10593 → 2 files
ID 10594 → 2 files
ID 10605 → 2 files
ID 10607 → 2 files
ID 10609 → 2 files
ID 10611 → 2 files
ID 10615 → 2 files
ID 10619 → 2 files
ID 10628 → 2 files
ID 10641 → 2 files
ID 10644 → 2 files
ID 10647 → 2 files
ID 10648 → 2 files
ID 10653 → 2 files
ID 10655 → 2 files
ID 10656 → 2 files
ID 10659 → 2 files
ID 10661 → 2 files
ID 10665 → 2 files
ID 10666 → 2 files
ID 10673 → 2 files
ID 10675 → 2 files
ID 10676 → 2 files
ID 10678 → 2 files
ID 10685 → 2 files
ID 10687 → 2 files
ID 10689 → 2 files
ID 10692 → 2 files
ID 10698 → 2 files
ID 10699 → 2 files
ID 10706 → 2 files
ID 10709 → 1 files
ID 10713 → 2 files
ID 10715 → 2 files
ID 10738 → 2 files
ID 10739 → 2 files
ID 10744 → 2 files
ID 10748 → 2 files
ID 10749 → 2 files
ID 10750 → 2 files
ID 10751 → 2 files
ID 10757 → 2 files
ID 10760 → 2 files
ID 10762 → 2 files
ID 10763 → 2 files
ID 10765 → 2 files
ID 10769 → 2 files
ID 10770 → 2 files
ID 10771 → 2 files
ID 10772 → 2 files
ID 10774 → 2 files
ID 10777 → 2 files
ID 10784 → 2 files
ID 10785 → 2 files
ID 10786 → 2 files
ID 10787 → 2 files
ID 10791 → 2 files
ID 10792 → 2 files
ID 10793 → 2 files
ID 10794 → 2 files
ID 10795 → 2 files
ID 10797 → 2 files
ID 10798 → 2 files
ID 10799 → 1 files
ID 10801 → 2 files
ID 10805 → 2 files
ID 10806 → 2 files
ID 10807 → 2 files
ID 10808 → 2 files
ID 10809 → 2 files
ID 10810 → 2 files
ID 10815 → 2 files
ID 10816 → 2 files
ID 10826 → 2 files
ID 10829 → 2 files
ID 10830 → 2 files
ID 10839 → 2 files
ID 10840 → 2 files
ID 10843 → 2 files
ID 10845 → 2 files
ID 10846 → 2 files
ID 10847 → 2 files
ID 10849 → 2 files
ID 10851 → 2 files
ID 10852 → 2 files
ID 10853 → 2 files
ID 10857 → 2 files
ID 10858 → 2 files
ID 10860 → 2 files
ID 10862 → 2 files
ID 10863 → 2 files
ID 10867 → 2 files
ID 10868 → 2 files
ID 10872 → 2 files
ID 10882 → 2 files
ID 10884 → 2 files
ID 10887 → 2 files
ID 10894 → 2 files
ID 10902 → 2 files
ID 10904 → 2 files
ID 10906 → 2 files
ID 10908 → 2 files
ID 10910 → 2 files
ID 10913 → 2 files
ID 10915 → 2 files
ID 10918 → 2 files
ID 10919 → 2 files
ID 10926 → 2 files
ID 10931 → 2 files
ID 10934 → 2 files
ID 10942 → 2 files
ID 10943 → 2 files
ID 10944 → 2 files
ID 10945 → 2 files
ID 10947 → 2 files
ID 10952 → 2 files
ID 10954 → 2 files
ID 10958 → 2 files
ID 10960 → 2 files
ID 10962 → 2 files
ID 10963 → 2 files
ID 10970 → 2 files
ID 10971 → 2 files
ID 10973 → 2 files
ID 10975 → 2 files
ID 10982 → 2 files
ID 10991 → 2 files
ID 10992 → 2 files
ID 10993 → 2 files
ID 10994 → 2 files
ID 10999 → 2 files
ID 11005 → 2 files
ID 11015 → 2 files
ID 11021 → 2 files
ID 11022 → 2 files
ID 11024 → 2 files
ID 11026 → 2 files
ID 11028 → 2 files
ID 11029 → 2 files
ID 11030 → 2 files
ID 11032 → 2 files
ID 11033 → 2 files
ID 11037 → 2 files
ID 11038 → 2 files
ID 11041 → 2 files
ID 11043 → 2 files
ID 11046 → 2 files
ID 11047 → 2 files
ID 11049 → 2 files
ID 11051 → 2 files
ID 11056 → 2 files
ID 11058 → 2 files
ID 11059 → 2 files
ID 11063 → 2 files
ID 11064 → 2 files
ID 11098 → 2 files
ID 11122 → 2 files
ID 11127 → 2 files
ID 11151 → 2 files
ID 11152 → 2 files
ID 11154 → 2 files
ID 11155 → 2 files
ID 11156 → 2 files
ID 11162 → 2 files
ID 11163 → 2 files
ID 11165 → 2 files
ID 11166 → 2 files
ID 11174 → 2 files
ID 11177 → 2 files
